Time,Data
0,1010
300,1020
700,1030
1100,1040
1200,1050
1500,1060
1500,1070
2000,1080
2100,1090
2100,1100
1900,1110
2500,1120
2500,1130
2600,1140
2500,1150
2300,1160
2800,1170
2900,1180
2800,1190
2500,1200
2900,1210
3000,1220
2800,1230
2600,1240
3100,1250
3100,1260
3000,1270
2700,1280
3100,1290
3100,1300
3000,1310
3000,1320
2700,1330
3100,1340
3100,1350
3000,1360
2700,1370
3100,1380
3200,1390
3000,1400
2600,1410
3200,1420
3200,1430
3100,1440
2727,1451
3200,1461
3200,1471
3100,1481
2900,1491
2800,1501
3100,1511
3100,1521
2900,1531
2600,1541
3200,1551
3200,1561
3000,1571
2800,1581
3100,1591
3200,1601
3000,1611
2727,1622
3100,1632
3200,1642
3100,1652
3000,1662
2700,1672
3100,1682
3200,1692
3100,1702
2600,1712
3100,1722
3100,1732
3100,1742
2600,1752
3100,1762
3200,1772
2900,1782
2800,1792
3100,1802
3100,1812
3000,1822
2900,1832
2700,1842
3100,1852
3200,1862
3000,1872
2600,1882
3200,1892
3200,1902
3100,1912
2700,1922
3200,1932
3200,1942
3000,1952
2818,1963
3200,1973
3200,1983
3000,1993
3000,2003
2800,2013
3100,2023
3100,2033
3000,2043
2700,2053
3100,2063
3200,2073
3000,2083
2700,2093
3100,2103
3200,2113
3000,2123
2818,2134
3100,2144
3100,2154
3000,2164
2900,2174
2700,2184
3200,2194
3200,2204
3100,2214
2700,2224
3200,2234
3200,2244
3100,2254
2700,2264
3100,2274
3200,2284
3100,2294
2700,2304
3000,2314
3200,2324
2900,2334
3000,2344
2800,2354
3100,2364
3200,2374
3000,2384
2600,2394
3200,2404
3100,2414
3200,2424
2700,2434
3200,2444
3200,2454
3000,2464
2818,2475
3200,2485
3100,2495
3100,2505
3100,2515
2700,2525
3100,2535
3200,2545
3000,2555
2700,2565
3200,2575
3200,2585
3100,2595
2700,2605
3200,2615
3300,2625
3100,2635
2727,2646
3200,2656
3300,2666
3100,2676
3100,2686
2800,2696
3200,2706
3300,2716
3000,2726
2000,2736
1100,2746
200,2756
1000,2766
1300,2776
1400,2786
1600,2796
1900,2806
1700,2816
1000,2826
0,2836
900,2846
1200,2856
