Time,DataA,DataB,,kp = 30
50,0.193,0.088,,ki = 10
100,0.193,0.521,,kff = 10
150,0.432,1.021,,
200,1.558,1.688,,
250,2.628,2.938,,
301,4.034,4.188,,
351,4.888,5.021,,
401,6.293,6.25,,
451,7.515,7.083,,
501,8.737,8.354,,
551,9.592,9.188,,
601,10.997,10.437,,
651,11.853,11.183,,
702,12.83,11.979,,
752,13.258,12.312,,
802,13.686,12.5,,
852,13.441,12.5,,
902,13.869,12.5,,
952,13.686,12.5,,
1002,13.624,12.5,,
1052,13.624,12.5,,
1102,13.624,12.5,,
1152,13.686,12.5,,
1202,13.624,12.5,,
1252,13.686,12.5,,
1302,13.808,12.5,,
1352,13.686,12.5,,
1402,13.808,12.5,,
1452,13.686,12.5,,
1502,13.808,12.5,,
1552,13.686,12.5,,
1602,13.441,12.5,,
1652,13.441,12.5,,
1702,13.441,12.5,,
1752,13.624,12.5,,
1802,13.686,12.5,,
1852,13.441,12.5,,
1902,13.686,12.5,,
1952,13.624,12.5,,
2002,13.381,12.5,,
2052,13.503,12.5,,
2102,13.441,12.5,,
2153,13.197,12.5,,
2203,13.503,12.5,,
2253,13.381,12.5,,
2303,13.258,12.5,,
2353,13.503,12.5,,
2403,13.258,12.5,,
2453,13.624,12.5,,
2503,13.441,12.5,,
2553,13.258,12.5,,
2603,13.441,12.5,,
2653,13.503,12.5,,
2703,13.197,12.5,,
2753,13.441,12.5,,
2803,13.441,12.5,,
2853,13.197,12.5,,
2903,13.197,12.5,,
2953,13.441,12.5,,
3003,13.258,12.5,,
3053,13.441,12.5,,
3103,13.441,12.5,,
3153,13.441,12.5,,
3203,13.321,12.5,,
3253,13.258,12.5,,
3303,13.197,12.5,,
3353,13.321,12.5,,
3403,13.321,12.5,,
3453,13.258,12.5,,
3503,13.197,12.5,,
3553,13.258,12.5,,
3604,13.258,12.5,,
3654,13.441,12.5,,
3704,13.258,12.5,,
3754,13.197,12.5,,
3804,13.258,12.5,,
3854,13.197,12.5,,
3904,13.197,12.5,,
3954,13.381,12.5,,
4004,13.197,12.5,,
4054,13.013,12.5,,
4104,13.258,12.5,,
4154,13.013,12.5,,
4204,13.013,12.5,,
4254,13.258,12.5,,
4304,13.075,12.5,,
4354,13.258,12.5,,
4404,13.258,12.5,,
4454,13.197,12.5,,
4504,13.013,12.457,,
4554,13.197,12.26,,
4604,12.83,12.089,,
4654,12.83,12.089,,
4704,12.83,12.089,,
4754,12.83,12.089,,
4804,12.83,12.089,,
4854,12.83,12.089,,
4904,12.83,12.089,,
4954,12.83,12.089,,
